TRAVEL_ID,MAJOR_TRANSPORT,TOTAL_MVMN_WON
e_e000005,['자가용(승용/승합/트럭 등등)'],112300
e_e000043,['자가용(승용/승합/트럭 등등)'],42925
e_e000191,['자가용(승용/승합/트럭 등등)'],98000
e_e000316,['택시'],204300
e_e000668,['자가용(승용/승합/트럭 등등)'],86400
e_e001033,['자가용(승용/승합/트럭 등등)'],88000
e_e001579,['자전거'],25900
e_e002195,"['KTX/SRT(고속열차)', '지하철']",86600
e_e003226,"['버스 + 지하철', '택시']",33300
e_e004870,['자가용(승용/승합/트럭 등등)'],19000
e_e004944,['자가용(승용/승합/트럭 등등)'],30000
e_e007408,['자가용(승용/승합/트럭 등등)'],33400
e_e011214,"['새마을/무궁화열차', '시외/고속버스', '택시']",80900
e_e013132,['렌터카(승용/승합/버스 등등)'],131770
e_e013143,['자가용(승용/승합/트럭 등등)'],8500
e_e013144,['자가용(승용/승합/트럭 등등)'],25000
e_e013149,['자가용(승용/승합/트럭 등등)'],53000
e_e013184,['버스 + 지하철'],86400
e_e013188,['자가용(승용/승합/트럭 등등)'],57800
f_f000001,['자가용(승용/승합/트럭 등등)'],86800
f_f000004,"['배/선박', '자가용(승용/승합/트럭 등등)']",175850
f_f000030,['자가용(승용/승합/트럭 등등)'],50000
f_f001718,['자가용(승용/승합/트럭 등등)'],51400
f_f002508,['자가용(승용/승합/트럭 등등)'],60000
f_f008573,['자가용(승용/승합/트럭 등등)'],55800
f_f009789,['자가용(승용/승합/트럭 등등)'],125100
f_f015537,['자가용(승용/승합/트럭 등등)'],30000
f_f015541,['자가용(승용/승합/트럭 등등)'],68600
f_f016471,['자가용(승용/승합/트럭 등등)'],75200
f_f016830,['KTX/SRT(고속열차)'],44650
g_g000003,['렌터카(승용/승합/버스 등등)'],198900
g_g000004,['자가용(승용/승합/트럭 등등)'],50000
g_g000005,['택시'],66900
g_g000009,['자가용(승용/승합/트럭 등등)'],40200
g_g000010,"['버스 + 지하철', '택시']",13700
g_g000014,['자가용(승용/승합/트럭 등등)'],80000
g_g000016,['자가용(승용/승합/트럭 등등)'],90650
g_g000023,['렌터카(승용/승합/버스 등등)'],78530
g_g000025,['자가용(승용/승합/트럭 등등)'],34669
g_g000026,['자가용(승용/승합/트럭 등등)'],70000
g_g000191,"['KTX/SRT(고속열차)', '버스 + 지하철', '택시']",203100
g_g000195,['자가용(승용/승합/트럭 등등)'],44000
g_g000204,['자가용(승용/승합/트럭 등등)'],95200
g_g000206,['택시'],126420
g_g000208,['자가용(승용/승합/트럭 등등)'],10000
g_g000210,['시외/고속버스'],45000
g_g000215,['자가용(승용/승합/트럭 등등)'],55390
g_g000220,['자가용(승용/승합/트럭 등등)'],65600
g_g000225,['자가용(승용/승합/트럭 등등)'],60000
g_g000226,['자가용(승용/승합/트럭 등등)'],34750
g_g000229,['자가용(승용/승합/트럭 등등)'],86500
g_g000230,['자가용(승용/승합/트럭 등등)'],80000
g_g000231,['자가용(승용/승합/트럭 등등)'],14000
g_g000233,['자가용(승용/승합/트럭 등등)'],60000
g_g000234,['자가용(승용/승합/트럭 등등)'],63000
g_g000235,['렌터카(승용/승합/버스 등등)'],284130
g_g000236,['자가용(승용/승합/트럭 등등)'],113000
g_g000237,['자가용(승용/승합/트럭 등등)'],104600
g_g000239,"['KTX/SRT(고속열차)', '렌터카(승용/승합/버스 등등)', '지하철']",193777
g_g000240,"['KTX/SRT(고속열차)', '택시']",184000
g_g000242,['자가용(승용/승합/트럭 등등)'],146200
g_g000249,['자가용(승용/승합/트럭 등등)'],118400
g_g000250,['자가용(승용/승합/트럭 등등)'],500
g_g000251,['자가용(승용/승합/트럭 등등)'],2700
g_g000252,['자가용(승용/승합/트럭 등등)'],54800
g_g000256,['자가용(승용/승합/트럭 등등)'],65000
g_g000258,['자가용(승용/승합/트럭 등등)'],74833
g_g000259,['자가용(승용/승합/트럭 등등)'],54368
g_g000260,['자가용(승용/승합/트럭 등등)'],71900
g_g000262,"['KTX/SRT(고속열차)', '버스 + 지하철']",106400
g_g000264,['자가용(승용/승합/트럭 등등)'],98100
g_g000265,['자가용(승용/승합/트럭 등등)'],89300
g_g000269,['자가용(승용/승합/트럭 등등)'],65000
g_g000270,"['KTX/SRT(고속열차)', '지하철', '택시']",185800
g_g000285,"['KTX/SRT(고속열차)', '지하철']",64200
g_g000286,['자가용(승용/승합/트럭 등등)'],15000
g_g000287,['자가용(승용/승합/트럭 등등)'],90600
g_g000290,['자가용(승용/승합/트럭 등등)'],85400
g_g000296,['자가용(승용/승합/트럭 등등)'],54700
g_g000298,['자가용(승용/승합/트럭 등등)'],103000
g_g000299,['자가용(승용/승합/트럭 등등)'],30000
g_g000301,['택시'],153700
g_g000305,['자가용(승용/승합/트럭 등등)'],59300
g_g000306,['자가용(승용/승합/트럭 등등)'],39000
g_g000308,['자가용(승용/승합/트럭 등등)'],53400
g_g000309,['자가용(승용/승합/트럭 등등)'],130600
g_g000312,['자가용(승용/승합/트럭 등등)'],80000
g_g000313,"['KTX/SRT(고속열차)', '버스 + 지하철', '새마을/무궁화열차', '시내/마을버스', '자가용(승용/승합/트럭 등등)']",104250
g_g000314,['자가용(승용/승합/트럭 등등)'],201500
g_g000316,['자가용(승용/승합/트럭 등등)'],52400
g_g000318,['자가용(승용/승합/트럭 등등)'],87100
g_g000319,['택시'],25350
g_g000320,['자가용(승용/승합/트럭 등등)'],114305
g_g000321,['버스 + 지하철'],25000
g_g000322,['KTX/SRT(고속열차)'],136500
g_g000328,['자가용(승용/승합/트럭 등등)'],25000
g_g000334,['자가용(승용/승합/트럭 등등)'],64000
g_g000336,['자가용(승용/승합/트럭 등등)'],30000
g_g000338,['KTX/SRT(고속열차)'],54100
g_g000339,['자가용(승용/승합/트럭 등등)'],52800
g_g000341,['자가용(승용/승합/트럭 등등)'],30000
g_g000345,['KTX/SRT(고속열차)'],94400
g_g000346,['자가용(승용/승합/트럭 등등)'],64500
g_g000348,"['버스 + 지하철', '택시']",139300
g_g000351,['자가용(승용/승합/트럭 등등)'],66000
g_g000354,['자가용(승용/승합/트럭 등등)'],10000
g_g000357,['자가용(승용/승합/트럭 등등)'],100000
g_g000361,['자가용(승용/승합/트럭 등등)'],34000
g_g000365,"['새마을/무궁화열차', '지하철']",45500
g_g000367,['자가용(승용/승합/트럭 등등)'],30900
g_g000374,['자가용(승용/승합/트럭 등등)'],55700
g_g000378,['버스 + 지하철'],131400
g_g000379,['자가용(승용/승합/트럭 등등)'],30000
g_g000380,['자가용(승용/승합/트럭 등등)'],98978
g_g000384,['자가용(승용/승합/트럭 등등)'],44730
g_g000387,['자가용(승용/승합/트럭 등등)'],95600
g_g000389,['버스 + 지하철'],39950
g_g000391,['자가용(승용/승합/트럭 등등)'],43000
g_g000392,['자가용(승용/승합/트럭 등등)'],39000
g_g000393,"['KTX/SRT(고속열차)', '버스 + 지하철']",170000
g_g000394,['자가용(승용/승합/트럭 등등)'],79600
g_g000396,['자가용(승용/승합/트럭 등등)'],61262
g_g000397,['자가용(승용/승합/트럭 등등)'],205660
g_g000399,['자가용(승용/승합/트럭 등등)'],120000
g_g000402,"['관광버스', '버스 + 지하철']",34400
g_g000404,['자가용(승용/승합/트럭 등등)'],152600
g_g000405,['자가용(승용/승합/트럭 등등)'],73000
g_g000409,"['기타', '새마을/무궁화열차', '시외/고속버스', '자전거']",84700
g_g000410,['KTX/SRT(고속열차)'],96400
g_g000413,['택시'],137000
g_g000414,"['시외/고속버스', '택시']",92000
g_g000418,['자가용(승용/승합/트럭 등등)'],111000
g_g000419,['택시'],88300
g_g000420,['자가용(승용/승합/트럭 등등)'],2900
g_g000423,['자가용(승용/승합/트럭 등등)'],10000
g_g000425,['자가용(승용/승합/트럭 등등)'],80000
g_g000427,['자가용(승용/승합/트럭 등등)'],76000
g_g000429,"['시외/고속버스', '택시']",19500
g_g000430,['택시'],64400
g_g000435,['자가용(승용/승합/트럭 등등)'],52000
g_g000436,['자가용(승용/승합/트럭 등등)'],56600
g_g000437,['자가용(승용/승합/트럭 등등)'],68599
g_g000440,['자가용(승용/승합/트럭 등등)'],91500
g_g000441,['자가용(승용/승합/트럭 등등)'],23200
g_g000442,"['KTX/SRT(고속열차)', '택시']",292200
g_g000443,['자가용(승용/승합/트럭 등등)'],36000
g_g000447,"['버스 + 지하철', '자가용(승용/승합/트럭 등등)', '택시']",46100
g_g000453,['자가용(승용/승합/트럭 등등)'],116000
g_g000454,['자가용(승용/승합/트럭 등등)'],30000
g_g000459,['자가용(승용/승합/트럭 등등)'],88500
g_g000460,['자가용(승용/승합/트럭 등등)'],50000
g_g000461,['자가용(승용/승합/트럭 등등)'],60000
g_g000464,['자가용(승용/승합/트럭 등등)'],96911
g_g000466,['자가용(승용/승합/트럭 등등)'],50600
g_g000469,"['KTX/SRT(고속열차)', '시내/마을버스']",104000
g_g000471,['자가용(승용/승합/트럭 등등)'],76500
g_g000473,['자가용(승용/승합/트럭 등등)'],30960
g_g000474,['택시'],85980
g_g000477,['자가용(승용/승합/트럭 등등)'],20000
g_g000478,['자가용(승용/승합/트럭 등등)'],87600
g_g000480,['자가용(승용/승합/트럭 등등)'],75600
g_g000481,['자가용(승용/승합/트럭 등등)'],122900
g_g000483,['자가용(승용/승합/트럭 등등)'],55200
g_g000486,['자가용(승용/승합/트럭 등등)'],770000
g_g000487,['자가용(승용/승합/트럭 등등)'],103500
g_g000488,['자가용(승용/승합/트럭 등등)'],30000
g_g000490,['새마을/무궁화열차'],52400
g_g000492,['자가용(승용/승합/트럭 등등)'],62900
g_g000494,['자가용(승용/승합/트럭 등등)'],58600
g_g000498,"['KTX/SRT(고속열차)', '관광버스', '지하철', '택시']",112700
g_g000499,['자가용(승용/승합/트럭 등등)'],67000
g_g000502,"['KTX/SRT(고속열차)', '지하철', '택시']",144050
g_g000503,['자가용(승용/승합/트럭 등등)'],58000
g_g000506,['자가용(승용/승합/트럭 등등)'],6000
g_g000507,['자가용(승용/승합/트럭 등등)'],43100
g_g000508,['자가용(승용/승합/트럭 등등)'],83000
g_g000510,['자가용(승용/승합/트럭 등등)'],58000
g_g000515,['자가용(승용/승합/트럭 등등)'],50000
g_g000516,"['버스 + 지하철', '항공기']",21700
g_g000518,"['시내/마을버스', '택시']",12000
g_g000519,['자가용(승용/승합/트럭 등등)'],52200
g_g000520,['자가용(승용/승합/트럭 등등)'],10000
g_g000522,['자가용(승용/승합/트럭 등등)'],18600
g_g000532,['자가용(승용/승합/트럭 등등)'],30000
g_g000536,['자가용(승용/승합/트럭 등등)'],75200
g_g000540,['자가용(승용/승합/트럭 등등)'],64549
g_g000541,['자가용(승용/승합/트럭 등등)'],71000
g_g000544,"['새마을/무궁화열차', '자전거']",28800
g_g000545,['KTX/SRT(고속열차)'],41300
g_g000546,"['시내/마을버스', '택시']",39500
g_g000552,"['기타', '시외/고속버스']",5500
g_g000556,"['KTX/SRT(고속열차)', '새마을/무궁화열차', '택시']",44600
